NUMBER,CODE,SERIAL,NAME,FORM,TYPE1,TYPE2,CATEGORY,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA,HEIGHT,WEIGHT,HP,ATK,DEF,SP ATK,SP DEF,SPD,TOTAL
1,1,101,Bulbasaur,,Grass,Poison,Seed,Green,Overgrow,,Chlorophyll,1,0,0,0.7,6.9,45,49,49,65,65,45,318
2,1,201,Ivysaur,,Grass,Poison,Seed,Green,Overgrow,,Chlorophyll,1,0,0,1,13,60,62,63,80,80,60,405
3,1,301,Venusaur,,Grass,Poison,Seed,Green,Overgrow,,Chlorophyll,1,0,0,2,100,80,82,83,100,100,80,525
3,2,302,Venusaur,Mega Venusaur,Grass,Poison,,Green,Thick Fat,,,1,0,1,2.4,155.5,80,100,123,122,120,80,625
4,1,401,Charmander,,Fire,,Lizard,Red,Blaze,,Solar Power,1,0,0,0.6,8.5,39,52,43,60,50,65,309
5,1,501,Charmeleon,,Fire,,Flame,Red,Blaze,,Solar Power,1,0,0,1.1,19,58,64,58,80,65,80,405
6,1,601,Charizard,,Fire,Flying,Flame,Red,Blaze,,Solar Power,1,0,0,1.7,90.5,78,84,78,109,85,100,534
6,2,602,Charizard,Mega Charizard X,Fire,Dragon,,Black,Tough Claws,,,1,0,1,1.7,110.5,78,130,111,130,85,100,634
6,3,603,Charizard,Mega Charizard Y,Fire,Flying,,Red,Drought,,,1,0,1,1.7,90.5,78,104,78,159,115,100,634
6,4,604,Charizard,Gigantamax,Fire,Flying,,Red,Drought,,Solar Power,1,0,0,1.7,90.5,78,104,78,159,115,100,634
7,1,701,Squirtle,,Water,,Tiny Turtle,Blue,Torrent,,Rain Dish,1,0,0,0.5,9,44,48,65,50,64,43,314
8,1,801,Wartortle,,Water,,Turtle,Blue,Torrent,,Rain Dish,1,0,0,1,22.5,59,63,80,65,80,58,405
9,1,901,Blastoise,,Water,,Shellfish,Blue,Torrent,,Rain Dish,1,0,0,1.6,85.5,79,83,100,85,105,78,530
9,2,902,Blastoise,Mega Blastoise,Water,,,Blue,Mega Launcher,,,1,0,1,1.6,101.1,79,103,120,135,115,78,630
10,1,1001,Caterpie,,Bug,,Worm,Green,Shield Dust,,Run Away,1,0,0,0.3,2.9,45,30,35,20,20,45,195
11,1,1101,Metapod,,Bug,,Cocoon,Green,Shed Skin,,,1,0,0,0.7,9.9,50,20,55,25,25,30,205
12,1,1201,Butterfree,,Bug,Flying,Butterfly,White,Compound Eyes,,Tinted Lens,1,0,0,1.1,32,60,45,50,90,80,70,395
12,2,1202,Butterfree,Gigantamax,Bug,Flying,,White,Compound Eyes,,Tinted Lens,1,0,0,1.1,32,60,45,50,90,80,70,395
13,1,1301,Weedle,,Bug,Poison,Hairy Bug,Brown,Shield Dust,,Run Away,1,0,0,0.3,3.2,40,35,30,20,20,50,195
14,1,1401,Kakuna,,Bug,Poison,Cocoon,Yellow,Shed Skin,,,1,0,0,0.6,10,45,25,50,25,25,35,205
15,1,1501,Beedrill,,Bug,Poison,Poison Bee,Yellow,Swarm,,Sniper,1,0,0,1,29.5,65,90,40,45,80,75,395
15,2,1502,Beedrill,Mega Beedrill,Bug,Poison,,Yellow,Adaptability,,,1,0,1,1.4,40.5,65,150,40,15,80,145,495
16,1,1601,Pidgey,,Normal,Flying,Tiny Bird,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,0.3,1.8,40,45,40,35,35,56,251
17,1,1701,Pidgeotto,,Normal,Flying,Bird,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.1,30,63,60,55,50,50,71,349
18,1,1801,Pidgeot,,Normal,Flying,Bird,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.5,39.5,83,80,75,70,70,101,479
18,2,1802,Pidgeot,Mega Pidgeot,Normal,Flying,,Brown,No Guard,,,1,0,1,2.2,50.5,83,80,80,135,80,121,579
19,1,1901,Rattata,Kantonian,Normal,,Mouse,Purple,Run Away,Guts,Hustle,1,0,0,0.3,3.5,30,56,35,25,35,72,253
19,2,1902,Rattata,Alolan,Dark,Normal,,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.3,3.8,30,56,35,25,35,72,253
20,1,2001,Raticate,Kantonian,Normal,,Mouse,Brown,Run Away,Guts,Hustle,1,0,0,0.7,18.5,55,81,60,50,70,97,413
20,2,2002,Raticate,Alolan,Dark,Normal,,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.7,25.5,75,71,70,40,80,77,413
21,1,2101,Spearow,,Normal,Flying,Tiny Bird,Brown,Keen Eye,,Sniper,1,0,0,0.3,2,40,60,30,31,31,70,262
22,1,2201,Fearow,,Normal,Flying,Beak,Brown,Keen Eye,,Sniper,1,0,0,1.2,38,65,90,65,61,61,100,442
23,1,2301,Ekans,,Poison,,Snake,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,2,6.9,35,60,44,40,54,55,288
24,1,2401,Arbok,,Poison,,Cobra,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,3.5,65,60,95,69,65,79,80,448
25,1,2501,Pikachu,,Electric,,Mouse,Yellow,Static,,Lightning Rod,1,0,0,0.4,6,35,55,40,50,50,90,320
26,1,2601,Raichu,Kantonian,Electric,,Mouse,Yellow,Static,,Lightning Rod,1,0,0,0.8,30,60,90,55,90,80,110,485
